NO,공통표준단어명,공통표준단어영문약어명,공통표준단어영문명,공통표준단어설명,이음동의어목록,금칙어목록
57,법인등록번호,CRNO,Corporation Registration Number,法人登錄番號. 법인의 부동산등기용 등록번호로 법인의 설립등기(외국법인의 경우에는 국내에서 최초로 하는 영업소 또는 사무소설치의 등기를 말한다)를 하는 때에 이를 부여,,
58,변경,CHG,Change,變更. 다르게 바꾸어 새롭게 고침,,
59,변동,FLCTN,Fluctuation,變動. 바뀌어 달라짐,,
60,보고,RPT,Report,"報告. 일에 관한 내용이나 결과를 말이나 글로 알림, 보고하는 글이나 문서",,
61,사고,ACDNT,Accident,事故. 뜻밖에 일어난 불행한 일. 사람에게 해를 입혔거나 말썽을 일으킨 나쁜 짓. 어떤 일이 일어난 까닭,,
62,사망,DTH,Death,死亡. 사람이 죽거나 생명을 잃음,,
63,사업,BIZ,Business,事業. 어떤 일을 일정한 목적과 계획을 가지고 짜임새 있게 지속적으로 경영함. 또는 그 일,,
64,사용,USE,Use,使用. 일정한 목적이나 기능에 맞게 씀,,
65,삭제,DEL,Deletion,削除. 깎아 없애거나 지워 버림. 파일 내에 저장된 기록을 제거하거나 기억 장치에서 프로그램을 지우는 일,,
66,상담,DSCSN,Discussion,相談. 문제를 해결하거나 궁금증을 풀기 위하여 서로 의논함,,
67,생년월일,BRDT,Birth Date,生年月日. 태어난 해와 달과 날,,
68,생성,CRT,Creation,生成. 사물이 생겨남. 또는 사물이 생겨 이루어지게 함. 이전에 없었던 어떤 사물이나 성질의 새로운 출현,,
69,선정,SLCTN,Selection,選定. 여럿 가운데서 어떤 것을 뽑아 정함,,
70,선택,CHC,Choice,"選擇. 여럿 가운데서 필요한 것을 골라 뽑음. 문제를 해결하기 위한 몇 가지 수단을 의식하고, 그 가운데서 어느 것을 골라내는 작용",,
71,설립,FNDN,Foundation,設立. 기관이나 조직체 따위를 만들어 일으킴,,
72,설정,STNG,Setting,設定. 새로 만들어 정해 둠,,
73,설치,INSTL,Installation,設置. 어떤 일을 하는 데 필요한 기관이나 설비 따위를 베풀어 둠,,
74,성공,SCS,Success,成功. 목적하는 바를 이룸,,
75,수납,RCVMT,Receiving Money,收納. 돈이나 물품을 받아들임,수령,
,,, (or Thing),,,
76,수료,FNSH,Finish,修了. 일정한 학과를 다 배워 끝냄,이수,
77,수신,RCPTN,Reception,受信. 우편이나 전보 따위의 통신을 받음,,받는
78,수정,MDFCN,Modification,修正. 바로잡아 고침,,
79,수집,CLCT,Collection,蒐集. 취미나 연구를 위하여 여러 가지 물건이나 재료를 찾아 모음. 또는 그 물건이나 재료,,
80,승인,APRV,Approval,承認. 어떤 사실을 마땅하다고 받아들임. 어떤 특정한 행위에 대하여 행하는 승낙이나 동의,,
81,시각,TM,Time,"時刻. 시간상의 한 순간을 시, 분, 초로 표기. 시간의 어느 한 시점",,
82,시작,BGNG,Beginning,始作. 어떤 일이나 행동의 처음 단계를 이루거나 그렇게 하게 함. 또는 그 단계,,
83,시행,ENFC,Enforcement,施行. 실지로 행함. 법령을 공포한 뒤에 그 효력을 실제로 발생시키는 일,,
84,신고,DCLR,Declaration,申告. 국민이 법령의 규정에 따라 일정한 사실을 진술ㆍ보고함,,
85,신규,NEW,New,新規. 새로이 하는 일,,
86,신청,APLY,Apply,申請. 단체나 기관에 어떠한 일이나 물건을 알려 청구함,,
87,신청자,APLCNT,Applicant,"申請者. 관청이나 기관, 단체에 대하여 어떤 사항을 요청하는 사람",신청인,
88,실행,EXCN,Execution,實行 실지로 행함. 컴퓨터를 명령어에 따라서 작동시키는 일,,
89,심사,SRNG,Screening,審査. 자세하게 조사하여 등급이나 당락 따위를 결정함,,
90,심의,DLBR,Deliberation,審議. 심사하고 토의함,,
91,여권번호,PNO,Passport Number,旅券番號. 외국을 여행하는 국민에게 정부가 발급한 여권에 기재된 번호,,
92,여부,YN,Yes or No,與否. 그러함과 그러하지 아니함,,
93,연계,LINK,Link,"連繫/聯繫. 어떤 일이나 사람과 관련하여 관계를 맺음. 또는 그 관계, 메인 루틴과 몇 개의 서브루틴을 연결하여 하나의 실행 가능한 프로그램이 되도록 편집하는 일",,
94,연도,YR,Year,年度. 일정한 기간 단위로서의 그해,년도,
95,연월,YM,Year and Month,年月. 특정 연도와 월을 아울러 이르는 말,년월,
96,예약,RSVT,Reservation,豫約. 미리 약속함. 또는 미리 정한 약속. 앞으로 일정한 계약을 맺을 것을 미리 약속하여 두는 계약,,
97,오류,ERR,Error,誤謬. 그릇되어 이치에 맞지 않는 일로 연산 처리 장치의 잘못된 동작이나 소프트웨어의 잘못 때문에 생기는 계산값과 참값과의 오차 등을 뜻함,,
98,완료,CMPTN,Completion,完了. 완전히 끝마침,,
99,외국인,FRGNR,Foreigner,"外國人. 우리나라의 국적을 갖지 않은 사람으로 법률상의 지위는 원칙적으로 한국인과 동일하지만 참정권, 광업 소유권, 출입국 따위와 관련된 법적 권리에서는 제한을 받음",,
100,외국인등록번호,FRNO,Foreigner Registration Number,外國人登錄番號. 국내에 입국일로 부터 90일을 초과하여 체류하는 외국인에게 부여하는 번호,,
,,,,,,
