단어 명,물리 명,영문 명,금칙어
일간,DY,"DURING 10, 20, 60, 90, 120 DAY",
일간신문,DNEWSP,DAILY NEWSPAPER,
일계,SMMPRDY,SUMMATION PER DAY,
일과,DLYW,DAILY WORK,
일괄,BATCH,BATCH,"모둠,배치"
일괄개편,BTCRORG,BATCH REORGANIZATION,
일괄구매방식,LPS,LUMP-SUM PURCHASING SYSTEM,
일괄수리부속판매제도,SSBO,SYSTEM SUPPORT BUY-OUT,
일괄입찰,BNDEBID,BUNDLE BID,
일괄작업,BTCB,BATCH JOB,
일괄처리,BTCPRC,BATCH PROCESSING,"모둠처리,BATCH,배치처리,배치작업,일괄작업"
일괄처리번호,BTCPRCNO,BATCH PROCESS NUMBER,배치처리번호
일기도,WTHMP,WEATHER MAP,
일남중,SLRNN,SOLAR NOON,
일단면적,AIE,AREA FOR INDUSTRIAL ESTATE,
일단의면적,TARGRP,TOTAL AREA OF GROUP,
일단의토지,LSNG,LAND SEQUENCE NUMBER OF GROUP,일단토지
일단의필지수,LOTNGRP,LOT NUMBER OF GROUP,
일단토지면적,LAIE,LAND AREA FOR INDUSTRIAL ESTATE,
일등병,PFC,PRIVATE FIRST CLASS,일병
일람표,LSTTBL,LIST TABLE,
일련,SERIES,SERIES,
일련번호,SN,SERIAL NUMBER,"시퀀셜,SEQ,시퀀스,시리얼번호,SN,연번,SERIAL번호,SERIAL NUMBER,SERIALNUMBER,연번호"
일렬,SNGLN,SINGLE LINE,
일령,DAYAGE,DAYAGE,
일류,FSTCLSS,FIRST CLASS,
일몰,SNST,SUNSET,
일문,JPNSNT,JAPANESE SENTENCE,
일반,GNRL,GENERAL,
일반경쟁계약,CPTCTR,COMPETITIVE CONTRACT,
일반경쟁입찰,GPTBD,GENERAL COMPETITIVE BIDDING,
일반관리비,GNADMCST,GENERAL ADMINISTRATIVE COSTS,
일반담보,GNRLMRTGG,GENERAL MORTGAGE,
일반도로,GNRLROAD,GENERAL ROAD,
일반명령,GNLORD,GENERAL ORDER,
일반명령구분코드,GNLODVSCD,GENERAL ORDER DIVISION CODE,
일반명령번호,GNLONO,GENERAL ORDER NUMBER,
일반물자,GNRMTR,GENERAL MATERIAL,
일반방위산업구분코드,GNDIDVCD,GENERAL AND DEFENSE INDUSTRY DIVISION CODE,
일반사면,GRLNSY,GENERAL AMNESTY,
일반수리부속품,GNRPRPT,GENERAL REPAIR PART,
일반식,GEND,GENERAL DIET,
일반용,GNS,GENERAL USE,
일반잡유,GLBOIL,GENERAL LUBRICATING OIL,
일반전초,GOP,GENERAL OUTPOST,GOP
일반지원,GS,GENERAL SUPPORT,
일반지원재고,SB,SERVICEABLE BALANCE,야전지원재고
일반지원정비,GSM,GENERAL SUPPORT MAINTENANCE,
일반직공무원,POIGS,PUBLIC OFFICIAL IN GENERAL SERVICE,
일반차량,CTV,COMMERCIAL TYPE VEHICLE,
일반참모,GNRSTF,GENERAL STAFF,
일반특혜관세제도,GSP,GENERALIZED SYSTEM OF PREFERENCES,
일반판매소,GNRLSTR,GENERAL STORE,
일반형책임운영기관,GEA,GENERAL EXECUTIVE AGENCY,
일반화물,GNRCRG,GENERAL CARGO,
일반회계,GNRACC,GENERAL ACCOUNT,
일방,ONSD,ONE SIDE,
일방통행,ONEWYST,ONE-WAY STREET,
일변,DAYCHG,DAILY CHANGE,
일변동,DCNG,DAY CHANGE,
일별,DALY,DAILY,
일보,DAYRPT,DAILY REPORT,
일본,JP,JAPAN,
일본도착도기준가격,MOPJ,MEAN OF PLATTS JAPAN,MOPJ
일부,PORTN,PORTION,
일부보험,PRTINSR,PARTIAL INSURANCE,
일부상소,PRTAPL,PART APPEAL,
일비,DAYEXP,DAILY EXPENSE,
일사부재리,PADJ,PROHIBITION AGAINST DOUBLE JEOPARDY,
일산화질소,NMO,NITROGEN MONOXIDE,
일상,EDAY,EVERY DAY,
일선관서,FGO,FISCAL GOVERNMENT OFFICE,
일선관서변경요청코드,FGOCRCD,FISCAL GOVERNMENT OFFICE CHANGE REQUEST CODE,
일선관서장,FGOC,FISCAL GOVERNMENT OFFICE CHIEF,
일선관서코드,FGOCD,FISCAL GOVERNMENT OFFICE CODE,
일선교환가능품목,LRU,LINE REPLACEABLE UNIT,현장교환품목
일수,NUMDAY,NUMBER OF DAY,
일시,DTTM,DATE AND TIME,
일시간,DNH,Date And Hour,
일시검사,OTIORD,ONE TIME INSPECTION ORDER,
일시구매,OTPCH,ONETIME PURCHASE,
일시군,DTG,DATE TIME GROUP,
일시금,LPAMT,LUMP AMOUNT,
일시분,DHM,DAY HOUR MINUTE,
일시분초,DHMS,DAY HOUR MINUTE SECOND,
일시불,LMPS,LUMP SUM PAYMENT,
일시정지,POSE,PAUSE,
일식,JPNSTY,JAPANESE STYLE,
일어,JPN,JAPANESE,
일요일,SUN,SUNDAY,
일용,DYEMP,DAILY EMPLOYED,
일용품,DAYNCS,DAILY NECESSITIES,
일월출몰지점코드,SMPSTCD,SUNRISE SUNSET MOONRISE MOONSET POSITION CODE,
일일,ECHDAY,EACH DAY,
일일가동시간,EDPRTM,EACH DAY OPERATING TIME,
일일기상예보,DCAT,EACH DAY,
일일보급량,DLSPL,DAILY SUPPLY,
일일시간대구분코드,ECDAYTMCD,EACH DAY TIME SLOT SECTION CODE,
일일정보요약,DISUM,DAILY INTELLIGENCE SUMMARY,
일일정비,DAYMTN,DAILY MAINTENANCE,
일자,DATE,DATE,"DATE,날짜,년월일"
일정,RGL,REGULAR,
일정,SCHDL,SCHEDULE,"스케줄,스케쥴"
일정번호,SCHDLNO,SCHEDULE NUMBER,
일지,DIARY,DIARY,
일직자,DWHR,DAY WATCHER,
일차,ORDDY,ORDER BY DAY,
일차감시레이더,PSR,PRIMARY SURVEILLANCE RADAR,"1차감시레이더, 주감시레이더, 탐색레이더"
일출,SNRS,SUNRISE,
일치,CSTC,CONSISTENCY,
일평균,DYRG,DAY AVERAGE,
일할,ASYY,ASSIGN BY DAY,
일회성,OTM,ONE TIME,
일회호흡량,TDLVOL,TIDAL VOLUME,TIDALVOLUME
읽기,READ,READ,
임검,OFCLP,OFFICIAL INSPECTION,
임검침로,CTS,COURSE TO STEER,
임계속도,CRTSPD,CRITICAL SPEED,
임계치,THRHLD,THRESHOLD,
임관,CMMSN,COMMISSION,
임관구분코드,CMSDVCD,COMMISSION DIVISION CODE,
임관일자,CMSNDT,COMMISSION DATE,임관일
임관코드,CMCD,COMMISSION CODE,
임금대장,WLGR,WAGES LEDGER,
임기,TRMOFC,ONES TERM OF OFFICE,
임기응변,PRN,PRO RE NATA (WHENEVER NECESSARY),
임기장애물,OOBST,OBSTACLE OF OPPORTUNITY,
임기제,TOSYS,TERM OF OFFICE SYSTEM,
임기제부사관,TONCO,TERM OF OFFICE SYSTEM NONCOMMISSIONED OFFICER,
임기제진급,TOSP,TERM OF OFFICE SYSTEM PROMOTION,
임대료,RNTCHRG,RENT CHARGE,
임대자,RNTAGNT,RENT AGENT,
임도,FRSRD,FOREST ROAD,
임률,WGRT,WAGE RATE,"임율,임금률"
임면,APDSMS,APPOINTMENT AND DISMISSAL,
임명,NMNT,NOMINATION,
임명명령,NMNORD,NOMINATION ORDER,
임명일자,NMNTDT,NOMINATION DATE,임명일
임목,FRSTRE,FOREST TREE,
임무,MSN,MISSION,
임무가능유무구분코드,MSPBEANDVSCD,MISSION POSSIBILITY EXISTENCE AND NONEXISTENCE DIVISION CODE,
임무결과,MSNRS,MISSION RESULT,
임무결과보고서,MISREP,MISSION REPORT,MISREP
임무계획,MSNPL,MISSION PLAN,
임무계획록,MPF,MISSION PREPARATION FOLDER,
임무긴요도코드,MECD,MISSION ESSENTIALITY CODE,
임무목표부호,MSNGLSGN,MISSION GOAL SIGN,
임무번호,MSNNO,MISSION NUMBER,
임무별,MB,MISSION BY,
임무보고서번호,MSNRPTNO,MISSION REPORT NUMBER,
임무부대,TSKFC,TASK FORCE,
임무부여,MSNTSK,MISSION TASKING,
임무부여번호,MSNASGNO,MISSION ASSIGNMENT NUMBER,
임무부호,MSNSGN,MISSION SIGN,
임무분석,MANL,MISSION ANALYSIS,
임무상태,MSNST,MISSION STATE,
임무수행,MSNEXE,MISSION EXECUTION,
임무수행평가결과코드,MSEXEVALRCD,MISSION EXECUTION EVALUATION RESULT CODE,
임무완료상태코드,MSNCMPLTSACD,MISSION COMPLETION STATE CODE,
임무유형,MSNPRFL,MISSION PROFILE,
임무유형코드,MSNPFCD,MISSION PROFILE CODE,
임무일자,MSNDT,MISSION DATE,임무일
임무지시번호,MINO,MISSION INSTRUCTIONS NUMBER,
임무포기,ABORT,ABORT,
임무필수품목,MEI,MISSION ESSENTIAL ITEM,
임무할당코드,MSALTMTCD,MISSION ALLOTMENT CODE,
임무형보호태세,MOPP,MISSION ORIENTED PROTECTIVE POSTURE,MOPP
임무형보호태세단계코드,MOPPSTEPCD,MISSION ORIENTED PROJECTIVE POSTURE STEP CODE,
임상,CLNC,CLINIC,
임상상태,CSTE,CLINIC STATE,
임시,TEMP,TEMPORARY,
임시건물,TMPBLD,TEMPORARY BUILDING,
